FRAME,Date,UTC,IntSec,GPSWkSec,Longitude,Latitude,Easting,Northing,H-Ell,Roll,Pitch,Heading,ToffSet,GWSDiff,IntDiff,TrgMiss
20200622_110245_00000000,6/22/2020,03:00:39.800,96.40375,97257.8,121.2162021161,25.0189566784,271820.124,2767894.653,95.304,2.8121633442,-0.1947462509,-51.1677621726,97161.39625,0,0,0
20200622_110245_00000001,6/22/2020,03:00:40.786,97.390375,97258.786,121.2161872958,25.0189667660,271818.627,2767895.768,95.273,2.8526560212,0.2300225056,-54.5265929310,97161.395625,0.986,0.98663,-0.00063
20200622_110245_00000002,6/22/2020,03:00:41.518,98.12225,97259.518,121.2161719128,25.0189763748,271817.073,2767896.830,95.252,2.7613410299,0.4889596561,-56.4193499059,97161.39575,0.732,0.73187,0.00013
20200622_110245_00000003,6/22/2020,03:00:42.125,98.7295,97260.125,121.2161561848,25.0189855171,271815.484,2767897.840,95.239,2.5344833960,0.5758939907,-58.0304723198,97161.3955,0.607,0.60725,-0.00025
20200622_110245_00000004,6/22/2020,03:00:42.662,99.26575,97260.662,121.2161400780,25.0189943603,271813.857,2767898.817,95.232,2.1857787313,0.5746453066,-59.2010580832,97161.39625,0.537,0.53625,0.00075
20200622_110245_00000005,6/22/2020,03:00:43.147,99.75175,97261.147,121.2161238535,25.0190029562,271812.218,2767899.767,95.221,2.0770527427,0.6406432556,-60.2557818704,97161.39525,0.485,0.486,-0.001
20200622_110245_00000006,6/22/2020,03:00:43.598,100.202125,97261.598,121.2161072629,25.0190113608,271810.542,2767900.695,95.217,1.7563708419,0.3009099487,-60.9295560032,97161.395875,0.451,0.45037,0.00063
20200622_110245_00000007,6/22/2020,03:00:44.021,100.625625,97262.021,121.2160908344,25.0190197482,271808.882,2767901.621,95.201,2.0426030602,-0.0602253161,-61.1527876035,97161.395375,0.423,0.4235,-0.0005
20200622_110245_00000008,6/22/2020,03:00:44.430,101.0345,97262.43,121.2160742861,25.0190278245,271807.211,2767902.513,95.180,1.1515859593,0.0359223750,-60.8303331231,97161.3955,0.409,0.40887,0.00012
20200622_110245_00000009,6/22/2020,03:00:44.836,101.440375,97262.836,121.2160576448,25.0190364247,271805.530,2767903.463,95.155,1.1582999752,0.0473213154,-60.2624318051,97161.395625,0.406,0.40588,0.00013
20200622_110245_00000010,6/22/2020,03:00:45.227,101.8315,97263.227,121.2160413124,25.0190448921,271803.880,2767904.398,95.135,0.7005630594,0.1267894043,-59.5308233789,97161.3955,0.391,0.39113,-0.00012
20200622_110245_00000011,6/22/2020,03:00:45.615,102.219625,97263.615,121.2160250378,25.0190538090,271802.236,2767905.383,95.113,0.7968329745,0.2003619028,-58.6858138383,97161.395375,0.388,0.38812,-0.00012
20200622_110245_00000012,6/22/2020,03:00:45.995,102.59875,97263.995,121.2160089880,25.0190629035,271800.614,2767906.388,95.092,0.8729432624,0.3217753735,-57.7781228549,97161.39625,0.38,0.37913,0.00087
20200622_110245_00000013,6/22/2020,03:00:46.368,102.972125,97264.368,121.2159931098,25.0190722825,271799.010,2767907.424,95.081,1.0525763084,0.1799781823,-56.7587885534,97161.395875,0.373,0.37338,-0.00037
20200622_110245_00000014,6/22/2020,03:00:46.738,103.342375,97264.738,121.2159773767,25.0190819361,271797.421,2767908.491,95.063,1.1522985390,0.3720505268,-55.5455117735,97161.395625,0.37,0.37025,-0.00025
20200622_110245_00000015,6/22/2020,03:00:47.106,103.709875,97265.106,121.2159618261,25.0190919439,271795.849,2767909.597,95.049,1.2249596226,0.4604850292,-54.2649232983,97161.396125,0.368,0.3675,0.0005
20200622_110245_00000016,6/22/2020,03:00:47.467,104.07125,97265.467,121.2159466549,25.0191021416,271794.316,2767910.724,95.042,1.2024645470,0.3139787919,-52.9688604515,97161.39575,0.361,0.36138,-0.00037
20200622_110245_00000017,6/22/2020,03:00:47.832,104.435625,97265.832,121.2159314949,25.0191128033,271792.784,2767911.903,95.028,1.1473764365,0.2746697134,-51.7090759322,97161.396375,0.365,0.36437,0.00062
20200622_110245_00000018,6/22/2020,03:00:48.190,104.794125,97266.19,121.2159167590,25.0191236083,271791.295,2767913.097,95.014,1.1093055214,0.2444209093,-50.7138416956,97161.395875,0.358,0.3585,-0.0005
20200622_110245_00000019,6/22/2020,03:00:48.546,105.149625,97266.546,121.2159022098,25.0191346370,271789.825,2767914.316,94.999,1.0920137734,0.2004029037,-49.9052425290,97161.396375,0.356,0.3555,0.0005
20200622_110245_00000020,6/22/2020,03:00:48.898,105.50225,97266.898,121.2158878792,25.0191457622,271788.377,2767915.546,94.984,1.0659252137,0.1193256493,-49.2313563785,97161.39575,0.352,0.35263,-0.00063
20200622_110245_00000021,6/22/2020,03:00:49.251,105.85475,97267.251,121.2158735944,25.0191571398,271786.933,2767916.804,94.966,1.0924061159,0.1789517409,-48.5399245644,97161.39625,0.353,0.3525,0.0005
20200622_110245_00000022,6/22/2020,03:00:49.600,106.204375,97267.6,121.2158595485,25.0191686364,271785.513,2767918.075,94.948,1.1675714851,0.3335289185,-47.8688036873,97161.395625,0.349,0.34963,-0.00062
20200622_110245_00000023,6/22/2020,03:00:49.947,106.551,97267.947,121.2158456191,25.0191802456,271784.106,2767919.359,94.935,1.2058814061,0.4423896077,-47.3926294912,97161.396,0.347,0.34663,0.00037
20200622_110245_00000024,6/22/2020,03:00:50.291,106.894625,97268.291,121.2158317955,25.0191918919,271782.708,2767920.647,94.926,1.0616456724,0.3258974672,-47.0284966700,97161.396375,0.344,0.34363,0.00037
20200622_110245_00000025,6/22/2020,03:00:50.634,107.238375,97268.634,121.2158180334,25.0192036210,271781.317,2767921.944,94.916,1.0157143243,0.2310458396,-46.7487985507,97161.395625,0.343,0.34375,-0.00075
20200622_110245_00000026,6/22/2020,03:00:50.978,107.582,97268.978,121.2158042357,25.0192153989,271779.923,2767923.246,94.902,0.6883962110,0.3460042282,-46.4722103840,97161.396,0.344,0.34362,0.00037
20200622_110245_00000027,6/22/2020,03:00:51.319,107.92275,97269.319,121.2157906634,25.0192271688,271778.551,2767924.547,94.890,0.7081771266,0.4315874429,-46.3505917317,97161.39625,0.341,0.34075,0.00025
20200622_110245_00000028,6/22/2020,03:00:51.662,108.266375,97269.662,121.2157770326,25.0192390914,271777.173,2767925.866,94.887,0.8387139917,0.0994348528,-46.3800792066,97161.395625,0.343,0.34363,-0.00063
20200622_110245_00000029,6/22/2020,03:00:52.006,108.61,97270.006,121.2157634556,25.0192508619,271775.801,2767927.167,94.864,0.8244175817,0.5082121331,-46.5128117482,97161.396,0.344,0.34363,0.00037
20200622_110245_00000030,6/22/2020,03:00:52.350,108.953625,97270.35,121.2157498398,25.0192625577,271774.425,2767928.461,94.858,0.7360370517,0.5944031579,-46.8149686790,97161.396375,0.344,0.34363,0.00038
20200622_110245_00000031,6/22/2020,03:00:52.699,109.30325,97270.699,121.2157360750,25.0192742998,271773.033,2767929.759,94.856,0.8101977740,0.6395452377,-47.0330854533,97161.39575,0.349,0.34963,-0.00063
20200622_110245_00000032,6/22/2020,03:00:53.049,109.652875,97271.049,121.2157223191,25.0192859600,271771.643,2767931.048,94.855,0.8473066341,0.5774183276,-47.2286353340,97161.396125,0.35,0.34962,0.00038
20200622_110245_00000033,6/22/2020,03:00:53.402,110.0055,97271.402,121.2157084899,25.0192976112,271770.245,2767932.337,94.853,0.8911418046,0.4463504129,-47.4328472231,97161.3965,0.353,0.35263,0.00038
20200622_110245_00000034,6/22/2020,03:00:53.757,110.361,97271.757,121.2156945982,25.0193092464,271768.841,2767933.623,94.847,1.0077083217,0.1713891297,-47.6321158060,97161.396,0.355,0.3555,-0.0005
20200622_110245_00000035,6/22/2020,03:00:54.113,110.7165,97272.113,121.2156807079,25.0193208043,271767.437,2767934.901,94.832,1.1048830145,0.1440401281,-47.8195099035,97161.3965,0.356,0.3555,0.0005
20200622_110245_00000036,6/22/2020,03:00:54.468,111.072,97272.468,121.2156668879,25.0193322188,271766.040,2767936.163,94.815,1.1664006302,0.3163612032,-48.0180621198,97161.396,0.355,0.3555,-0.0005
20200622_110245_00000037,6/22/2020,03:00:54.827,111.4305,97272.827,121.2156528307,25.0193435795,271764.620,2767937.419,94.803,0.7632329940,0.4654573893,-48.1634747205,97161.3965,0.359,0.3585,0.0005
20200622_110245_00000038,6/22/2020,03:00:55.188,111.792,97273.188,121.2156387775,25.0193550080,271763.199,2767938.683,94.798,0.6679322442,0.3637384150,-48.1867356612,97161.396,0.361,0.3615,-0.0005
20200622_110245_00000039,6/22/2020,03:00:55.556,112.159375,97273.556,121.2156246700,25.0193664316,271761.774,2767939.946,94.791,0.4410395509,0.2741470219,-48.1673058799,97161.396625,0.368,0.36737,0.00063
20200622_110245_00000040,6/22/2020,03:00:55.932,112.5355,97273.932,121.2156106631,25.0193778595,271760.358,2767941.209,94.781,0.4268003378,0.2445798114,-48.1262710082,97161.3965,0.376,0.37613,-0.00012
20200622_110245_00000041,6/22/2020,03:00:56.317,112.920625,97274.317,121.2155967374,25.0193892092,271758.950,2767942.464,94.769,0.3213383569,0.3476272298,-48.0854778803,97161.396375,0.385,0.38513,-0.00013
20200622_110245_00000042,6/22/2020,03:00:56.717,113.320625,97274.717,121.2155827199,25.0194007123,271757.534,2767943.736,94.759,0.3999341293,0.2182682120,-48.0295648863,97161.396375,0.4,0.4,0
20200622_110245_00000043,6/22/2020,03:00:57.126,113.7295,97275.126,121.2155687572,25.0194121644,271756.122,2767945.002,94.752,0.3337559756,0.0932746457,-47.7807578266,97161.3965,0.409,0.40887,0.00012
20200622_110245_00000044,6/22/2020,03:00:57.547,114.15025,97275.547,121.2155549418,25.0194238320,271754.726,2767946.292,94.730,0.8182753632,0.2503239630,-47.5065358164,97161.39675,0.421,0.42075,0.00025
20200622_110245_00000045,6/22/2020,03:00:57.976,114.579875,97275.976,121.2155411850,25.0194354652,271753.336,2767947.579,94.717,1.0566549718,0.1854760648,-47.2609804599,97161.396125,0.429,0.42963,-0.00063
20200622_110245_00000046,6/22/2020,03:00:58.418,115.02125,97276.418,121.2155274389,25.0194471509,271751.946,2767948.871,94.705,1.2097826115,0.2360669762,-47.0538965706,97161.39675,0.442,0.44137,0.00063
20200622_110245_00000047,6/22/2020,03:00:58.880,115.483375,97276.88,121.2155136629,25.0194589458,271750.554,2767950.175,94.693,1.3393901158,0.1622281651,-46.9002741576,97161.396625,0.462,0.46213,-0.00013
20200622_110245_00000048,6/22/2020,03:00:59.363,115.966375,97277.363,121.2154999924,25.0194706457,271749.172,2767951.469,94.682,1.3416160733,0.1486537453,-46.8110113399,97161.396625,0.483,0.483,0
20200622_110245_00000049,6/22/2020,03:00:59.875,116.478875,97277.875,121.2154864754,25.0194822579,271747.806,2767952.753,94.667,1.4793316636,0.5884747698,-46.8525848175,97161.396125,0.512,0.5125,-0.0005
20200622_110245_00000050,6/22/2020,03:01:00.429,117.032875,97278.429,121.2154728434,25.0194939571,271746.428,2767954.046,94.668,1.6180536216,0.4014574900,-47.0100392100,97161.396125,0.554,0.554,0
20200622_110245_00000051,6/22/2020,03:01:01.043,117.646125,97279.043,121.2154590460,25.0195056451,271745.033,2767955.339,94.665,1.5800576833,0.1997729731,-47.2521614106,97161.396875,0.614,0.61325,0.00075
20200622_110245_00000052,6/22/2020,03:01:01.733,118.3365,97279.733,121.2154452592,25.0195170954,271743.640,2767956.605,94.652,1.2151432888,0.1416816856,-47.4899877983,97161.3965,0.69,0.69038,-0.00038
20200622_110245_00000053,6/22/2020,03:01:02.551,119.154125,97280.551,121.2154314186,25.0195285428,271742.241,2767957.871,94.640,0.9941381327,0.2108466671,-47.7904301153,97161.396875,0.818,0.81762,0.00038
20200622_110245_00000054,6/22/2020,03:01:03.526,120.128875,97281.526,121.2154174369,25.0195398427,271740.828,2767959.120,94.632,0.3612183774,0.4102317097,-47.8638385831,97161.397125,0.975,0.97475,0.00025
20200622_110245_00000055,6/22/2020,03:01:04.737,121.340625,97282.737,121.2154035797,25.0195512357,271739.428,2767960.380,94.625,0.2828375360,0.4219009399,-47.9433162161,97161.396375,1.211,1.21175,-0.00075
20200622_110245_00000056,6/22/2020,03:01:06.853,123.455875,97284.853,121.2153896934,25.0195625187,271738.024,2767961.627,94.622,-0.0333054378,0.5418589071,-47.9876947512,97161.397125,2.116,2.11525,0.00075
20200622_110245_00000057,6/22/2020,03:01:29.577,146.179625,97307.577,121.2153755420,25.0195740856,271736.594,2767962.906,94.615,-0.1516812273,1.0961423291,-48.0352028664,97161.397375,22.724,22.72375,0.00025
20200622_110245_00000058,6/22/2020,03:01:30.543,147.1455,97308.543,121.2153613224,25.0195859435,271735.157,2767964.217,94.623,-0.2176039896,0.7483917064,-46.8731658622,97161.3975,0.966,0.96588,0.00013
20200622_110245_00000059,6/22/2020,03:01:31.222,147.823875,97309.222,121.2153475233,25.0195981976,271733.762,2767965.572,94.623,0.0203798268,0.7326966136,-45.2002102494,97161.398125,0.679,0.67837,0.00062
20200622_110245_00000060,6/22/2020,03:01:31.767,148.369,97309.767,121.2153342621,25.0196106726,271732.421,2767966.952,94.608,0.2477925015,1.0120903588,-43.5849183877,97161.398,0.545,0.54513,-0.00012
20200622_110245_00000061,6/22/2020,03:01:32.241,148.843,97310.241,121.2153212320,25.0196234095,271731.104,2767968.361,94.606,-0.0722003723,0.7482483391,-42.0096836310,97161.398,0.474,0.474,0
20200622_110245_00000062,6/22/2020,03:01:32.679,149.2815,97310.679,121.2153086381,25.0196367044,271729.831,2767969.831,94.607,0.2976441129,0.4359413417,-40.3846487515,97161.3975,0.438,0.4385,-0.0005
20200622_110245_00000063,6/22/2020,03:01:33.097,149.699125,97311.097,121.2152967411,25.0196497162,271728.628,2767971.271,94.566,0.1285899802,2.0442390127,-38.8351287466,97161.397875,0.418,0.41763,0.00037
20200622_110245_00000064,6/22/2020,03:01:33.509,150.111,97311.509,121.2152848418,25.0196634940,271727.424,2767972.795,94.629,-0.1362755254,0.6400579087,-37.2165758693,97161.398,0.412,0.41187,0.00013
20200622_110245_00000065,6/22/2020,03:01:33.912,150.514,97311.912,121.2152735726,25.0196775393,271726.284,2767974.349,94.615,0.0874910225,1.0952607162,-35.6349966783,97161.398,0.403,0.403,0
20200622_110245_00000066,6/22/2020,03:01:34.294,150.896125,97312.294,121.2152626259,25.0196918217,271725.177,2767975.929,94.622,0.0172270955,0.9704035103,-34.1035961905,97161.397875,0.382,0.38213,-0.00013
20200622_110245_00000067,6/22/2020,03:01:34.658,151.260625,97312.658,121.2152521839,25.0197062610,271724.121,2767977.526,94.628,0.0254903667,1.0039969398,-32.7463432372,97161.397375,0.364,0.3645,-0.0005
20200622_110245_00000068,6/22/2020,03:01:35.014,151.616,97313.014,121.2152420260,25.0197209793,271723.093,2767979.155,94.628,-0.0421468912,0.9902458183,-31.4156945509,97161.398,0.356,0.35538,0.00062
20200622_110245_00000069,6/22/2020,03:01:35.361,151.962625,97313.361,121.2152322502,25.0197359501,271722.104,2767980.812,94.637,0.0075388382,0.7751588333,-30.1787015977,97161.398375,0.347,0.34662,0.00038
20200622_110245_00000070,6/22/2020,03:01:35.698,152.300375,97313.698,121.2152228906,25.0197510069,271721.156,2767982.478,94.633,0.1001082625,0.7901548547,-29.1401071589,97161.397625,0.337,0.33775,-0.00075
20200622_110245_00000071,6/22/2020,03:01:36.024,152.626375,97314.024,121.2152138385,25.0197659526,271720.240,2767984.132,94.631,-0.0914049407,1.1510426428,-28.3414509602,97161.397625,0.326,0.326,0
20200622_110245_00000072,6/22/2020,03:01:36.347,152.94925,97314.347,121.2152048537,25.0197813435,271719.331,2767985.835,94.638,-0.1427850833,0.8389931761,-27.6355480083,97161.39775,0.323,0.32288,0.00012
20200622_110245_00000073,6/22/2020,03:01:36.661,153.263375,97314.661,121.2151960794,25.0197966809,271718.442,2767987.533,94.644,-0.3077188190,0.7320594002,-26.9361733812,97161.397625,0.314,0.31412,-0.00013
20200622_110245_00000074,6/22/2020,03:01:36.969,153.571375,97314.969,121.2151876708,25.0198121426,271717.591,2767989.244,94.634,-0.1133194321,1.0101788899,-26.2152875579,97161.397625,0.308,0.308,0
20200622_110245_00000075,6/22/2020,03:01:37.272,153.873625,97315.272,121.2151794747,25.0198278514,271716.761,2767990.982,94.641,0.3972744413,0.4369376435,-25.5530862336,97161.398375,0.303,0.30225,0.00075
20200622_110245_00000076,6/22/2020,03:01:37.571,154.172875,97315.571,121.2151714690,25.0198433942,271715.950,2767992.703,94.633,0.5312251481,0.5116533765,-25.0343870959,97161.398125,0.299,0.29925,-0.00025
20200622_110245_00000077,6/22/2020,03:01:37.867,154.469125,97315.867,121.2151636403,25.0198588509,271715.158,2767994.413,94.621,0.5089172238,0.7152540972,-24.4891449445,97161.397875,0.296,0.29625,-0.00025
20200622_110245_00000078,6/22/2020,03:01:38.166,154.768375,97316.166,121.2151559070,25.0198746193,271714.374,2767996.159,94.625,0.6536410315,0.6281073518,-23.9078616640,97161.397625,0.299,0.29925,-0.00025
20200622_110245_00000079,6/22/2020,03:01:38.463,155.064625,97316.463,121.2151483509,25.0198903804,271713.609,2767997.903,94.618,0.6974377293,0.6910409675,-23.3618104433,97161.398375,0.297,0.29625,0.00075
20200622_110245_00000080,6/22/2020,03:01:38.759,155.360875,97316.759,121.2151409160,25.0199063323,271712.856,2767999.669,94.615,0.7335762352,0.5292713063,-22.8137481911,97161.398125,0.296,0.29625,-0.00025
20200622_110245_00000081,6/22/2020,03:01:39.052,155.654125,97317.052,121.2151336161,25.0199223671,271712.116,2768001.444,94.607,0.7562708487,0.3343789414,-22.2636411683,97161.397875,0.293,0.29325,-0.00025
20200622_110245_00000082,6/22/2020,03:01:39.340,155.9415,97317.34,121.2151265227,25.0199383983,271711.398,2768003.218,94.599,0.7326616921,0.1280762568,-21.6733892806,97161.3985,0.288,0.28737,0.00063
20200622_110245_00000083,6/22/2020,03:01:39.624,156.226,97317.624,121.2151196870,25.0199544316,271710.705,2768004.993,94.575,0.8722379961,0.4158132508,-21.0639728280,97161.398,0.284,0.2845,-0.0005
20200622_110245_00000084,6/22/2020,03:01:39.903,156.5045,97317.903,121.2151129394,25.0199704433,271710.021,2768006.766,94.562,0.5755274688,0.4176834635,-20.4890033719,97161.3985,0.279,0.2785,0.0005
20200622_110245_00000085,6/22/2020,03:01:40.181,156.783,97318.181,121.2151064571,25.0199866066,271709.364,2768008.555,94.550,0.7060576259,0.5244313765,-19.8567870519,97161.398,0.278,0.2785,-0.0005
20200622_110245_00000086,6/22/2020,03:01:40.457,157.0585,97318.457,121.2151001502,25.0200028049,271708.725,2768010.348,94.543,0.7600560370,0.3869539425,-19.2115134186,97161.3985,0.276,0.2755,0.0005
20200622_110245_00000087,6/22/2020,03:01:40.735,157.337,97318.735,121.2150940025,25.0200193030,271708.101,2768012.174,94.537,0.9192616607,-0.0842078366,-18.5919850910,97161.398,0.278,0.2785,-0.0005
20200622_110245_00000088,6/22/2020,03:01:41.011,157.6125,97319.011,121.2150881422,25.0200357056,271707.507,2768013.990,94.512,1.1361031034,-0.0369080965,-17.8980753425,97161.3985,0.276,0.2755,0.0005
20200622_110245_00000089,6/22/2020,03:01:41.286,157.888,97319.286,121.2150823998,25.0200521076,271706.925,2768015.806,94.482,0.9280712993,0.0036051968,-17.2215235477,97161.398,0.275,0.2755,-0.0005
20200622_110245_00000090,6/22/2020,03:01:41.562,158.1635,97319.562,121.2150769141,25.0200686896,271706.368,2768017.642,94.466,1.0487214250,-0.1800225048,-16.4856583271,97161.3985,0.276,0.2755,0.0005
20200622_110245_00000091,6/22/2020,03:01:41.837,158.439125,97319.837,121.2150717458,25.0200852158,271705.843,2768019.472,94.437,1.2226305423,0.0554105981,-15.7317956290,97161.397875,0.275,0.27562,-0.00063
20200622_110245_00000092,6/22/2020,03:01:42.110,158.711625,97320.11,121.2150666980,25.0201016870,271705.331,2768021.295,94.415,0.9846267365,0.0506316410,-15.0756657809,97161.398375,0.273,0.2725,0.0005
20200622_110245_00000093,6/22/2020,03:01:42.385,158.98725,97320.385,121.2150618572,25.0201183597,271704.840,2768023.141,94.397,0.8344110815,0.2047134628,-14.3610305724,97161.39775,0.275,0.27562,-0.00063
20200622_110245_00000094,6/22/2020,03:01:42.658,159.25975,97320.658,121.2150572022,25.0201350424,271704.367,2768024.988,94.375,0.5994643035,0.4353127716,-13.6429881789,97161.39825,0.273,0.2725,0.0005
20200622_110245_00000095,6/22/2020,03:01:42.928,159.529375,97320.928,121.2150528823,25.0201518291,271703.928,2768026.847,94.368,0.6923446820,0.1282723224,-12.9267358128,97161.398625,0.27,0.26962,0.00038
20200622_110245_00000096,6/22/2020,03:01:43.197,159.798875,97321.197,121.2150487808,25.0201686594,271703.511,2768028.710,94.346,0.7321987813,0.2834830250,-12.1747873593,97161.398125,0.269,0.2695,-0.0005
20200622_110245_00000097,6/22/2020,03:01:43.464,160.0655,97321.464,121.2150449294,25.0201855681,271703.119,2768030.582,94.328,0.8896648787,0.3406909641,-11.4124230134,97161.3985,0.267,0.26662,0.00038
20200622_110245_00000098,6/22/2020,03:01:43.728,160.32925,97321.728,121.2150412822,25.0202024588,271702.748,2768032.453,94.318,0.7414608722,0.4023434562,-10.5903307410,97161.39875,0.264,0.26375,0.00025
20200622_110245_00000099,6/22/2020,03:01:43.991,160.593,97321.991,121.2150379314,25.0202194411,271702.407,2768034.333,94.307,0.6977406848,0.4103959521,-9.5728984712,97161.398,0.263,0.26375,-0.00075
20200622_110245_00000100,6/22/2020,03:01:44.255,160.856625,97322.255,121.2150349599,25.0202366831,271702.104,2768036.243,94.297,0.8335545510,0.2835285255,-8.3354729890,97161.398375,0.264,0.26363,0.00038
20200622_110245_00000101,6/22/2020,03:01:44.516,161.117375,97322.516,121.2150324260,25.0202538587,271701.845,2768038.145,94.282,0.9457309060,0.3103033143,-7.0701086832,97161.398625,0.261,0.26075,0.00025
20200622_110245_00000102,6/22/2020,03:01:44.773,161.375125,97322.773,121.2150303809,25.0202708976,271701.636,2768040.031,94.266,1.1597467576,0.3495545842,-5.7385099360,97161.397875,0.257,0.25775,-0.00075
20200622_110245_00000103,6/22/2020,03:01:45.031,161.633,97323.031,121.2150287099,25.0202880980,271701.464,2768041.936,94.253,1.2109636876,0.4607848753,-4.4085189972,97161.398,0.258,0.25788,0.00013
20200622_110245_00000104,6/22/2020,03:01:45.289,161.890625,97323.289,121.2150275047,25.0203053902,271701.340,2768043.852,94.243,1.4220370279,0.4293636180,-3.0728094486,97161.398375,0.258,0.25762,0.00038
20200622_110245_00000105,6/22/2020,03:01:45.547,162.148375,97323.547,121.2150267674,25.0203227221,271701.262,2768045.771,94.236,1.6594291049,0.3509992902,-1.7782908245,97161.398625,0.258,0.25775,0.00025
20200622_110245_00000106,6/22/2020,03:01:45.804,162.406125,97323.804,121.2150264726,25.0203400089,271701.229,2768047.686,94.218,1.9914784799,0.2638771414,-0.6416531038,97161.397875,0.257,0.25775,-0.00075
20200622_110245_00000107,6/22/2020,03:01:46.059,162.661,97324.059,121.2150264511,25.0203571825,271701.224,2768049.588,94.207,2.0534414520,0.0333492208,0.2450007467,97161.398,0.255,0.25487,0.00012
20200622_110245_00000108,6/22/2020,03:01:46.317,162.91875,97324.317,121.2150266412,25.0203744491,271701.240,2768051.501,94.185,1.9510991825,0.3908993361,0.9707927493,97161.39825,0.258,0.25775,0.00025
20200622_110245_00000109,6/22/2020,03:01:46.575,163.1765,97324.575,121.2150270104,25.0203917565,271701.275,2768053.418,94.174,1.7616166473,0.3344032936,1.4585434821,97161.3985,0.258,0.25775,0.00025
20200622_110245_00000110,6/22/2020,03:01:46.830,163.431375,97324.83,121.2150275232,25.0204088621,271701.323,2768055.312,94.165,1.6468797009,0.1038311974,1.8167403446,97161.398625,0.255,0.25487,0.00013
20200622_110245_00000111,6/22/2020,03:01:47.087,163.689125,97325.087,121.2150281590,25.0204260084,271701.385,2768057.212,94.146,1.5553931091,0.1902138373,2.0905047590,97161.397875,0.257,0.25775,-0.00075
20200622_110245_00000112,6/22/2020,03:01:47.345,163.94675,97325.345,121.2150288723,25.0204431897,271701.454,2768059.115,94.131,1.4819782259,0.2329810260,2.2941436879,97161.39825,0.258,0.25763,0.00038
20200622_110245_00000113,6/22/2020,03:01:47.603,164.2045,97325.603,121.2150296389,25.0204603462,271701.528,2768061.015,94.115,1.4191102717,0.2309225187,2.2873754266,97161.3985,0.258,0.25775,0.00025
20200622_110245_00000114,6/22/2020,03:01:47.861,164.462375,97325.861,121.2150303565,25.0204774774,271701.597,2768062.913,94.101,1.3050853809,0.1460206349,2.1954017334,97161.398625,0.258,0.25788,0.00013
20200622_110245_00000115,6/22/2020,03:01:48.121,164.723,97326.121,121.2150310876,25.0204946929,271701.668,2768064.820,94.085,1.3086292647,0.1350240580,2.1317677965,97161.398,0.26,0.26063,-0.00063
20200622_110245_00000116,6/22/2020,03:01:48.379,164.98075,97326.379,121.2150318011,25.0205117272,271701.737,2768066.707,94.068,1.3514894256,0.2010628369,2.0707279553,97161.39825,0.258,0.25775,0.00025
20200622_110245_00000117,6/22/2020,03:01:48.640,165.2415,97326.64,121.2150324949,25.0205289200,271701.804,2768068.611,94.052,1.3715065919,0.2648055270,1.9982985824,97161.3985,0.261,0.26075,0.00025
20200622_110245_00000118,6/22/2020,03:01:48.901,165.50225,97326.901,121.2150331954,25.0205460575,271701.872,2768070.509,94.037,1.4989531666,0.3750501023,1.9398337515,97161.39875,0.261,0.26075,0.00025
20200622_110245_00000119,6/22/2020,03:01:49.161,165.763,97327.161,121.2150338656,25.0205631025,271701.936,2768072.397,94.027,1.5865612254,0.4438228066,1.8717634943,97161.398,0.26,0.26075,-0.00075
20200622_110245_00000120,6/22/2020,03:01:49.422,166.023625,97327.422,121.2150344981,25.0205801994,271701.997,2768074.291,94.020,1.6304967360,0.4795631523,1.8071453353,97161.398375,0.261,0.26063,0.00038
20200622_110245_00000121,6/22/2020,03:01:49.683,166.284375,97327.683,121.2150351189,25.0205972625,271702.057,2768076.181,94.013,1.6675997835,0.4743296697,1.7918337862,97161.398625,0.261,0.26075,0.00025
20200622_110245_00000122,6/22/2020,03:01:49.946,166.548,97327.946,121.2150357070,25.0206144568,271702.113,2768078.086,94.007,1.5471455336,0.2918446839,1.9186050844,97161.398,0.263,0.26362,-0.00063
20200622_110245_00000123,6/22/2020,03:01:50.210,166.81175,97328.21,121.2150363918,25.0206316449,271702.179,2768079.990,93.995,1.5733682289,0.3593497987,2.0754428613,97161.39825,0.264,0.26375,0.00025
20200622_110245_00000124,6/22/2020,03:01:50.474,167.075375,97328.474,121.2150371235,25.0206488555,271702.250,2768081.896,93.983,1.5915542689,0.3311321568,2.2197424263,97161.398625,0.264,0.26363,0.00037
20200622_110245_00000125,6/22/2020,03:01:50.735,167.336125,97328.735,121.2150378318,25.0206659322,271702.319,2768083.788,93.970,1.3735303656,0.2739218516,2.3345351850,97161.398875,0.261,0.26075,0.00025
20200622_110245_00000126,6/22/2020,03:01:50.998,167.599875,97328.998,121.2150386186,25.0206831507,271702.395,2768085.695,93.958,1.2734395395,0.4784670562,2.5246384667,97161.398125,0.263,0.26375,-0.00075
20200622_110245_00000127,6/22/2020,03:01:51.259,167.860375,97329.259,121.2150395443,25.0207002933,271702.485,2768087.594,93.947,1.3905245451,0.5250779000,2.8565807930,97161.398625,0.261,0.2605,0.0005
20200622_110245_00000128,6/22/2020,03:01:51.520,168.121125,97329.52,121.2150405127,25.0207175544,271702.580,2768089.506,93.940,1.2476941071,0.1043566357,3.2705169213,97161.398875,0.261,0.26075,0.00025
20200622_110245_00000129,6/22/2020,03:01:51.777,168.378875,97329.777,121.2150416047,25.0207346164,271702.687,2768091.396,93.927,1.0449842008,0.0956520235,3.7455375934,97161.398125,0.257,0.25775,-0.00075
